src,dst,timestamp,date
67,32,2004-04-22 03:14:09,2004-04-22
32,68,2004-04-22 03:14:41,2004-04-22
68,56,2004-04-22 03:17:30,2004-04-22
67,32,2004-04-22 03:17:48,2004-04-22
67,32,2004-04-22 03:19:59,2004-04-22
68,61,2004-04-22 03:20:18,2004-04-22
67,32,2004-04-22 03:21:19,2004-04-22
67,8,2004-04-22 03:31:36,2004-04-22
69,67,2004-04-22 03:43:10,2004-04-22
70,51,2004-04-22 04:12:47,2004-04-22
44,50,2004-04-22 04:14:49,2004-04-22
67,32,2004-04-22 04:32:34,2004-04-22
71,58,2004-04-22 04:33:25,2004-04-22
71,72,2004-04-22 04:34:41,2004-04-22
51,58,2004-04-22 04:35:09,2004-04-22
72,71,2004-04-22 04:47:29,2004-04-22
73,74,2004-04-22 04:54:09,2004-04-22
74,73,2004-04-22 04:55:19,2004-04-22
73,74,2004-04-22 04:58:33,2004-04-22
74,73,2004-04-22 04:59:32,2004-04-22
34,58,2004-04-22 05:01:54,2004-04-22
44,75,2004-04-22 05:01:57,2004-04-22
44,75,2004-04-22 05:04:01,2004-04-22
9,58,2004-04-22 05:04:54,2004-04-22
73,74,2004-04-22 05:05:32,2004-04-22
9,76,2004-04-22 05:05:39,2004-04-22
32,77,2004-04-22 05:22:06,2004-04-22
41,76,2004-04-22 05:35:06,2004-04-22
41,78,2004-04-22 05:35:22,2004-04-22
79,48,2004-04-22 05:41:34,2004-04-22
79,63,2004-04-22 05:42:15,2004-04-22
41,80,2004-04-22 05:43:38,2004-04-22
79,58,2004-04-22 05:44:24,2004-04-22
41,81,2004-04-22 05:44:32,2004-04-22
79,70,2004-04-22 05:49:07,2004-04-22
19,82,2004-04-22 05:56:11,2004-04-22
19,72,2004-04-22 05:57:24,2004-04-22
12,32,2004-04-22 05:57:46,2004-04-22
19,64,2004-04-22 06:05:10,2004-04-22
19,58,2004-04-22 06:07:10,2004-04-22
19,58,2004-04-22 06:07:15,2004-04-22
19,58,2004-04-22 06:07:17,2004-04-22
19,52,2004-04-22 06:13:08,2004-04-22
83,59,2004-04-22 06:14:20,2004-04-22
51,70,2004-04-22 06:14:37,2004-04-22
38,58,2004-04-22 06:20:31,2004-04-22
41,58,2004-04-22 06:40:43,2004-04-22
63,79,2004-04-22 06:41:25,2004-04-22
41,63,2004-04-22 06:41:33,2004-04-22
67,59,2004-04-22 06:45:59,2004-04-22
41,63,2004-04-22 06:52:15,2004-04-22
41,58,2004-04-22 06:58:22,2004-04-22
44,84,2004-04-22 07:07:46,2004-04-22
19,85,2004-04-22 07:16:46,2004-04-22
19,72,2004-04-22 07:18:14,2004-04-22
3,84,2004-04-22 07:30:42,2004-04-22
19,8,2004-04-22 07:33:16,2004-04-22
19,58,2004-04-22 07:34:31,2004-04-22
84,86,2004-04-22 07:43:53,2004-04-22
83,58,2004-04-22 07:46:43,2004-04-22
36,60,2004-04-22 07:47:12,2004-04-22
86,48,2004-04-22 07:50:31,2004-04-22
87,63,2004-04-22 07:55:09,2004-04-22
36,88,2004-04-22 07:58:09,2004-04-22
87,8,2004-04-22 08:02:30,2004-04-22
36,89,2004-04-22 08:09:43,2004-04-22
90,56,2004-04-22 08:10:02,2004-04-22
36,90,2004-04-22 08:10:59,2004-04-22
36,84,2004-04-22 08:11:58,2004-04-22
91,92,2004-04-22 08:12:55,2004-04-22
36,93,2004-04-22 08:16:00,2004-04-22
91,92,2004-04-22 08:17:05,2004-04-22
36,90,2004-04-22 08:17:21,2004-04-22
91,92,2004-04-22 08:19:41,2004-04-22
36,60,2004-04-22 08:23:21,2004-04-22
36,84,2004-04-22 08:31:32,2004-04-22
51,58,2004-04-22 08:33:32,2004-04-22
94,84,2004-04-22 08:35:04,2004-04-22
36,84,2004-04-22 08:41:10,2004-04-22
94,84,2004-04-22 08:41:29,2004-04-22
94,84,2004-04-22 08:47:44,2004-04-22
69,84,2004-04-22 08:49:24,2004-04-22
69,95,2004-04-22 08:49:55,2004-04-22
87,8,2004-04-22 08:54:20,2004-04-22
3,84,2004-04-22 09:00:49,2004-04-22
3,84,2004-04-22 09:04:56,2004-04-22
48,86,2004-04-22 09:13:37,2004-04-22
84,8,2004-04-22 09:31:27,2004-04-22
91,81,2004-04-22 09:47:02,2004-04-22
96,88,2004-04-22 09:49:55,2004-04-22
8,84,2004-04-22 10:06:13,2004-04-22
84,8,2004-04-22 10:21:30,2004-04-22
91,47,2004-04-22 10:26:13,2004-04-22
97,98,2004-04-22 10:37:02,2004-04-22
98,97,2004-04-22 10:39:36,2004-04-22
97,98,2004-04-22 10:40:11,2004-04-22
48,97,2004-04-22 10:42:00,2004-04-22
99,8,2004-04-22 10:47:12,2004-04-22
99,8,2004-04-22 10:47:26,2004-04-22
97,48,2004-04-22 10:49:36,2004-04-22
100,101,2004-04-22 10:53:13,2004-04-22
102,97,2004-04-22 10:54:49,2004-04-22
97,48,2004-04-22 11:00:00,2004-04-22
97,102,2004-04-22 11:00:11,2004-04-22
101,100,2004-04-22 11:06:13,2004-04-22
48,58,2004-04-22 11:07:14,2004-04-22
97,48,2004-04-22 11:07:43,2004-04-22
103,72,2004-04-22 11:58:04,2004-04-22
103,58,2004-04-22 12:04:05,2004-04-22
104,59,2004-04-22 12:39:48,2004-04-22
104,59,2004-04-22 12:39:57,2004-04-22
103,72,2004-04-22 13:21:48,2004-04-22
105,56,2004-04-22 17:05:16,2004-04-22
106,72,2004-04-22 17:08:03,2004-04-22
105,61,2004-04-22 17:12:46,2004-04-22
105,8,2004-04-22 17:14:11,2004-04-22
105,33,2004-04-22 17:21:43,2004-04-22
105,107,2004-04-22 17:26:57,2004-04-22
105,81,2004-04-22 17:34:10,2004-04-22
44,102,2004-04-22 17:47:51,2004-04-22
36,105,2004-04-22 18:41:57,2004-04-22
36,104,2004-04-22 18:51:35,2004-04-22
34,108,2004-04-22 18:56:19,2004-04-22
34,109,2004-04-22 19:05:43,2004-04-22
36,110,2004-04-22 19:09:00,2004-04-22
111,112,2004-04-22 19:19:13,2004-04-22
34,58,2004-04-22 19:34:21,2004-04-22
36,113,2004-04-22 19:38:36,2004-04-22
36,109,2004-04-22 19:39:00,2004-04-22
79,109,2004-04-22 19:51:47,2004-04-22
114,105,2004-04-22 19:54:36,2004-04-22
101,115,2004-04-22 19:56:13,2004-04-22
56,90,2004-04-22 20:09:35,2004-04-22
56,105,2004-04-22 20:10:09,2004-04-22
56,68,2004-04-22 20:10:51,2004-04-22
29,58,2004-04-22 20:32:50,2004-04-22
87,58,2004-04-22 20:36:50,2004-04-22
44,116,2004-04-22 20:45:06,2004-04-22
44,117,2004-04-22 20:54:40,2004-04-22
44,117,2004-04-22 20:55:12,2004-04-22
44,79,2004-04-22 21:03:59,2004-04-22
80,58,2004-04-22 21:10:59,2004-04-22
96,32,2004-04-22 21:30:30,2004-04-22
118,100,2004-04-22 21:45:52,2004-04-22
119,120,2004-04-22 21:51:28,2004-04-22
119,120,2004-04-22 21:51:44,2004-04-22
120,119,2004-04-22 21:52:55,2004-04-22
120,75,2004-04-22 21:54:10,2004-04-22
119,120,2004-04-22 21:55:49,2004-04-22
120,119,2004-04-22 21:56:12,2004-04-22
119,58,2004-04-22 21:57:28,2004-04-22
74,73,2004-04-22 22:03:21,2004-04-22
118,120,2004-04-22 22:13:16,2004-04-22
121,108,2004-04-22 22:21:26,2004-04-22
72,106,2004-04-22 22:25:10,2004-04-22
44,92,2004-04-22 22:38:51,2004-04-22
26,122,2004-04-22 22:45:46,2004-04-22
44,79,2004-04-22 23:10:28,2004-04-22
1,123,2004-04-22 23:23:42,2004-04-22
96,124,2004-04-22 23:44:06,2004-04-22
125,126,2004-04-22 23:45:32,2004-04-22
36,104,2004-04-23 00:04:24,2004-04-23
44,79,2004-04-23 00:30:18,2004-04-23
44,79,2004-04-23 00:41:00,2004-04-23
36,124,2004-04-23 00:43:18,2004-04-23
36,127,2004-04-23 00:53:48,2004-04-23
36,128,2004-04-23 00:54:39,2004-04-23
44,79,2004-04-23 00:58:32,2004-04-23
44,129,2004-04-23 01:00:26,2004-04-23
44,116,2004-04-23 01:03:09,2004-04-23
9,120,2004-04-23 01:05:32,2004-04-23
79,58,2004-04-23 01:12:11,2004-04-23
36,109,2004-04-23 01:30:46,2004-04-23
124,109,2004-04-23 01:32:54,2004-04-23
36,109,2004-04-23 01:35:46,2004-04-23
124,61,2004-04-23 01:37:02,2004-04-23
124,72,2004-04-23 01:40:24,2004-04-23
36,109,2004-04-23 01:48:47,2004-04-23
36,112,2004-04-23 01:54:28,2004-04-23
124,85,2004-04-23 01:58:31,2004-04-23
85,124,2004-04-23 02:00:25,2004-04-23
32,130,2004-04-23 02:01:31,2004-04-23
36,112,2004-04-23 02:02:05,2004-04-23
124,85,2004-04-23 02:02:48,2004-04-23
72,124,2004-04-23 02:17:36,2004-04-23
124,8,2004-04-23 02:21:53,2004-04-23
131,30,2004-04-23 02:27:21,2004-04-23
99,126,2004-04-23 02:40:25,2004-04-23
103,72,2004-04-23 02:46:44,2004-04-23
103,72,2004-04-23 02:52:45,2004-04-23
103,63,2004-04-23 02:57:22,2004-04-23
103,117,2004-04-23 02:58:59,2004-04-23
103,72,2004-04-23 03:05:23,2004-04-23
131,30,2004-04-23 03:38:16,2004-04-23
69,95,2004-04-23 03:49:46,2004-04-23
69,124,2004-04-23 03:50:04,2004-04-23
69,79,2004-04-23 03:50:15,2004-04-23
132,30,2004-04-23 03:50:34,2004-04-23
36,99,2004-04-23 03:56:07,2004-04-23
36,133,2004-04-23 03:56:52,2004-04-23
36,60,2004-04-23 03:57:34,2004-04-23
36,134,2004-04-23 04:00:56,2004-04-23
36,133,2004-04-23 04:02:09,2004-04-23
36,81,2004-04-23 04:04:42,2004-04-23
103,72,2004-04-23 04:09:19,2004-04-23
103,135,2004-04-23 04:13:00,2004-04-23
133,135,2004-04-23 04:14:24,2004-04-23
135,133,2004-04-23 04:15:05,2004-04-23
36,133,2004-04-23 04:15:15,2004-04-23
103,135,2004-04-23 04:15:27,2004-04-23
19,52,2004-04-23 04:19:10,2004-04-23
133,135,2004-04-23 04:19:18,2004-04-23
103,135,2004-04-23 04:20:26,2004-04-23
103,135,2004-04-23 04:21:14,2004-04-23
135,133,2004-04-23 04:21:20,2004-04-23
133,135,2004-04-23 04:22:24,2004-04-23
36,133,2004-04-23 04:22:38,2004-04-23
36,133,2004-04-23 04:30:12,2004-04-23
36,133,2004-04-23 04:43:29,2004-04-23
9,109,2004-04-23 05:17:52,2004-04-23
9,109,2004-04-23 05:34:26,2004-04-23
62,136,2004-04-23 05:51:04,2004-04-23
96,32,2004-04-23 06:00:12,2004-04-23
137,138,2004-04-23 06:17:37,2004-04-23
96,137,2004-04-23 06:20:56,2004-04-23
19,120,2004-04-23 06:24:19,2004-04-23
44,90,2004-04-23 06:24:30,2004-04-23
96,137,2004-04-23 06:24:44,2004-04-23
137,138,2004-04-23 06:24:53,2004-04-23
19,139,2004-04-23 06:31:43,2004-04-23
44,60,2004-04-23 06:40:54,2004-04-23
44,88,2004-04-23 06:42:26,2004-04-23
44,102,2004-04-23 06:43:37,2004-04-23
44,90,2004-04-23 06:44:30,2004-04-23
19,111,2004-04-23 06:44:39,2004-04-23
44,90,2004-04-23 06:48:05,2004-04-23
9,32,2004-04-23 06:48:29,2004-04-23
44,90,2004-04-23 06:50:58,2004-04-23
44,90,2004-04-23 06:53:49,2004-04-23
103,63,2004-04-23 06:57:22,2004-04-23
103,72,2004-04-23 06:58:09,2004-04-23
38,86,2004-04-23 06:59:00,2004-04-23
140,105,2004-04-23 06:59:37,2004-04-23
103,72,2004-04-23 07:07:47,2004-04-23
38,86,2004-04-23 07:16:00,2004-04-23
38,101,2004-04-23 07:19:26,2004-04-23
38,101,2004-04-23 07:32:01,2004-04-23
38,101,2004-04-23 07:32:43,2004-04-23
103,101,2004-04-23 07:34:18,2004-04-23
38,101,2004-04-23 07:36:08,2004-04-23
103,101,2004-04-23 07:36:15,2004-04-23
38,61,2004-04-23 07:52:13,2004-04-23
75,120,2004-04-23 07:52:17,2004-04-23
38,81,2004-04-23 07:54:04,2004-04-23
44,141,2004-04-23 07:56:26,2004-04-23
44,141,2004-04-23 07:58:02,2004-04-23
44,74,2004-04-23 08:05:57,2004-04-23
44,127,2004-04-23 08:08:04,2004-04-23
124,135,2004-04-23 08:44:07,2004-04-23
140,124,2004-04-23 08:50:12,2004-04-23
19,82,2004-04-23 08:51:44,2004-04-23
19,82,2004-04-23 08:56:39,2004-04-23
19,82,2004-04-23 08:58:43,2004-04-23
105,56,2004-04-23 09:02:06,2004-04-23
19,82,2004-04-23 09:03:04,2004-04-23
124,135,2004-04-23 09:04:11,2004-04-23
105,58,2004-04-23 09:05:15,2004-04-23
105,63,2004-04-23 09:05:29,2004-04-23
19,82,2004-04-23 09:05:32,2004-04-23
105,61,2004-04-23 09:06:51,2004-04-23
105,135,2004-04-23 09:09:55,2004-04-23
124,135,2004-04-23 09:15:13,2004-04-23
71,72,2004-04-23 09:30:14,2004-04-23
135,124,2004-04-23 09:34:06,2004-04-23
9,32,2004-04-23 09:36:21,2004-04-23
63,105,2004-04-23 09:36:47,2004-04-23
72,71,2004-04-23 09:40:42,2004-04-23
142,58,2004-04-23 09:42:24,2004-04-23
124,135,2004-04-23 09:43:50,2004-04-23
124,135,2004-04-23 09:46:59,2004-04-23
143,32,2004-04-23 09:49:32,2004-04-23
144,99,2004-04-23 09:54:41,2004-04-23
144,105,2004-04-23 09:57:02,2004-04-23
144,121,2004-04-23 09:59:16,2004-04-23
9,109,2004-04-23 10:01:00,2004-04-23
103,109,2004-04-23 10:21:23,2004-04-23
103,63,2004-04-23 10:24:25,2004-04-23
103,63,2004-04-23 10:36:16,2004-04-23
103,109,2004-04-23 10:38:34,2004-04-23
48,81,2004-04-23 10:38:37,2004-04-23
95,81,2004-04-23 10:41:39,2004-04-23
145,48,2004-04-23 10:42:21,2004-04-23
95,63,2004-04-23 10:42:31,2004-04-23
145,95,2004-04-23 10:44:41,2004-04-23
95,109,2004-04-23 10:44:45,2004-04-23
145,95,2004-04-23 10:46:53,2004-04-23
145,48,2004-04-23 10:49:09,2004-04-23
145,95,2004-04-23 10:51:51,2004-04-23
145,48,2004-04-23 10:55:14,2004-04-23
145,48,2004-04-23 10:57:36,2004-04-23
95,109,2004-04-23 10:58:47,2004-04-23
96,48,2004-04-23 11:02:19,2004-04-23
95,109,2004-04-23 11:04:32,2004-04-23
96,95,2004-04-23 11:09:00,2004-04-23
96,95,2004-04-23 11:11:48,2004-04-23
96,48,2004-04-23 11:12:38,2004-04-23
96,95,2004-04-23 11:15:27,2004-04-23
105,144,2004-04-23 11:35:54,2004-04-23
105,63,2004-04-23 11:36:08,2004-04-23
6,146,2004-04-23 11:50:36,2004-04-23
44,60,2004-04-23 17:33:23,2004-04-23
44,105,2004-04-23 17:34:05,2004-04-23
63,95,2004-04-23 17:41:08,2004-04-23
44,32,2004-04-23 18:15:10,2004-04-23
114,105,2004-04-23 18:38:01,2004-04-23
34,109,2004-04-23 18:40:59,2004-04-23
36,105,2004-04-23 18:43:35,2004-04-23
36,109,2004-04-23 18:44:53,2004-04-23
36,147,2004-04-23 18:53:05,2004-04-23
44,32,2004-04-23 19:03:13,2004-04-23
19,120,2004-04-23 19:19:19,2004-04-23
9,136,2004-04-23 19:37:31,2004-04-23
9,148,2004-04-23 19:37:51,2004-04-23
9,149,2004-04-23 19:38:49,2004-04-23
9,150,2004-04-23 19:39:36,2004-04-23
9,151,2004-04-23 19:41:02,2004-04-23
9,152,2004-04-23 19:42:34,2004-04-23
9,153,2004-04-23 19:42:54,2004-04-23
9,58,2004-04-23 19:43:11,2004-04-23
9,58,2004-04-23 19:43:20,2004-04-23
9,135,2004-04-23 19:43:43,2004-04-23
9,22,2004-04-23 19:44:04,2004-04-23
9,8,2004-04-23 19:45:42,2004-04-23
9,154,2004-04-23 19:47:17,2004-04-23
9,121,2004-04-23 19:49:17,2004-04-23
1,135,2004-04-23 19:59:53,2004-04-23
3,155,2004-04-23 20:03:57,2004-04-23
36,109,2004-04-23 20:06:10,2004-04-23
3,155,2004-04-23 20:07:10,2004-04-23
30,132,2004-04-23 20:14:44,2004-04-23
3,58,2004-04-23 20:23:21,2004-04-23
68,56,2004-04-23 20:52:45,2004-04-23
36,156,2004-04-23 21:44:30,2004-04-23
131,30,2004-04-23 21:58:54,2004-04-23
101,51,2004-04-23 22:15:16,2004-04-23
101,34,2004-04-23 22:19:05,2004-04-23
9,8,2004-04-23 22:22:48,2004-04-23
36,73,2004-04-23 22:40:11,2004-04-23
96,95,2004-04-23 22:51:21,2004-04-23
9,76,2004-04-23 23:10:26,2004-04-23
9,8,2004-04-23 23:14:15,2004-04-23
9,157,2004-04-23 23:28:18,2004-04-23
19,158,2004-04-23 23:38:40,2004-04-23
9,58,2004-04-23 23:41:14,2004-04-23
9,32,2004-04-23 23:46:46,2004-04-23
44,129,2004-04-24 00:57:38,2004-04-24
105,135,2004-04-24 00:57:59,2004-04-24
105,129,2004-04-24 00:59:15,2004-04-24
44,129,2004-04-24 01:02:03,2004-04-24
44,129,2004-04-24 01:02:56,2004-04-24
44,129,2004-04-24 01:03:36,2004-04-24
51,101,2004-04-24 01:05:29,2004-04-24
1,159,2004-04-24 01:06:05,2004-04-24
44,74,2004-04-24 01:31:02,2004-04-24
44,129,2004-04-24 01:33:56,2004-04-24
160,72,2004-04-24 02:08:19,2004-04-24
129,8,2004-04-24 02:22:28,2004-04-24
36,147,2004-04-24 02:27:22,2004-04-24
36,109,2004-04-24 02:28:31,2004-04-24
36,105,2004-04-24 02:29:58,2004-04-24
36,129,2004-04-24 02:30:29,2004-04-24
9,8,2004-04-24 02:31:04,2004-04-24
34,101,2004-04-24 03:33:40,2004-04-24
161,162,2004-04-24 03:52:14,2004-04-24
163,72,2004-04-24 04:15:26,2004-04-24
32,164,2004-04-24 04:31:45,2004-04-24
58,8,2004-04-24 04:44:12,2004-04-24
32,58,2004-04-24 04:47:03,2004-04-24
41,76,2004-04-24 04:52:44,2004-04-24
41,120,2004-04-24 04:53:56,2004-04-24
41,132,2004-04-24 04:54:32,2004-04-24
41,165,2004-04-24 04:55:10,2004-04-24
41,166,2004-04-24 04:55:45,2004-04-24
41,157,2004-04-24 04:56:04,2004-04-24
41,167,2004-04-24 04:56:50,2004-04-24
41,168,2004-04-24 04:57:12,2004-04-24
41,169,2004-04-24 04:57:28,2004-04-24
41,134,2004-04-24 04:57:58,2004-04-24
56,68,2004-04-24 04:59:28,2004-04-24
41,56,2004-04-24 04:59:53,2004-04-24
56,154,2004-04-24 05:00:21,2004-04-24
56,170,2004-04-24 05:01:36,2004-04-24
56,171,2004-04-24 05:01:54,2004-04-24
56,172,2004-04-24 05:02:06,2004-04-24
103,101,2004-04-24 05:07:40,2004-04-24
51,157,2004-04-24 05:09:25,2004-04-24
32,130,2004-04-24 05:11:48,2004-04-24
8,58,2004-04-24 05:22:22,2004-04-24
8,164,2004-04-24 05:23:55,2004-04-24
103,63,2004-04-24 05:36:22,2004-04-24
103,173,2004-04-24 05:39:11,2004-04-24
67,154,2004-04-24 05:45:41,2004-04-24
32,26,2004-04-24 05:54:01,2004-04-24
96,163,2004-04-24 06:16:01,2004-04-24
9,58,2004-04-24 06:23:56,2004-04-24
41,56,2004-04-24 06:24:40,2004-04-24
9,20,2004-04-24 06:28:22,2004-04-24
9,165,2004-04-24 06:29:03,2004-04-24
9,61,2004-04-24 06:31:44,2004-04-24
103,109,2004-04-24 06:45:32,2004-04-24
32,155,2004-04-24 06:47:33,2004-04-24
32,109,2004-04-24 06:48:37,2004-04-24
32,174,2004-04-24 06:49:54,2004-04-24
175,50,2004-04-24 06:50:21,2004-04-24
103,85,2004-04-24 06:58:22,2004-04-24
124,109,2004-04-24 06:59:53,2004-04-24
164,8,2004-04-24 07:02:52,2004-04-24
103,63,2004-04-24 07:10:36,2004-04-24
38,128,2004-04-24 07:14:47,2004-04-24
103,63,2004-04-24 07:15:10,2004-04-24
103,63,2004-04-24 07:16:09,2004-04-24
19,109,2004-04-24 07:16:57,2004-04-24
103,63,2004-04-24 07:17:57,2004-04-24
103,63,2004-04-24 07:19:13,2004-04-24
161,164,2004-04-24 07:19:26,2004-04-24
161,164,2004-04-24 07:19:28,2004-04-24
38,109,2004-04-24 07:20:16,2004-04-24
41,63,2004-04-24 07:20:48,2004-04-24
103,63,2004-04-24 07:22:16,2004-04-24
176,63,2004-04-24 07:22:36,2004-04-24
41,63,2004-04-24 07:22:38,2004-04-24
176,63,2004-04-24 07:24:10,2004-04-24
41,63,2004-04-24 07:24:33,2004-04-24
161,63,2004-04-24 07:25:05,2004-04-24
103,63,2004-04-24 07:25:11,2004-04-24
41,63,2004-04-24 07:25:16,2004-04-24
176,63,2004-04-24 07:26:02,2004-04-24
41,63,2004-04-24 07:26:05,2004-04-24
161,63,2004-04-24 07:26:15,2004-04-24
103,63,2004-04-24 07:26:30,2004-04-24
32,164,2004-04-24 07:26:32,2004-04-24
176,63,2004-04-24 07:26:53,2004-04-24
41,63,2004-04-24 07:27:25,2004-04-24
176,63,2004-04-24 07:28:23,2004-04-24
41,63,2004-04-24 07:28:30,2004-04-24
161,63,2004-04-24 07:28:39,2004-04-24
103,63,2004-04-24 07:29:05,2004-04-24
41,177,2004-04-24 07:29:30,2004-04-24
41,177,2004-04-24 07:29:34,2004-04-24
164,178,2004-04-24 07:29:56,2004-04-24
164,177,2004-04-24 07:30:13,2004-04-24
32,175,2004-04-24 07:30:25,2004-04-24
32,177,2004-04-24 07:30:41,2004-04-24
176,63,2004-04-24 07:31:06,2004-04-24
164,179,2004-04-24 07:31:08,2004-04-24
41,63,2004-04-24 07:31:46,2004-04-24
32,179,2004-04-24 07:32:00,2004-04-24
41,63,2004-04-24 07:32:19,2004-04-24
41,63,2004-04-24 07:33:56,2004-04-24
41,63,2004-04-24 07:34:19,2004-04-24
41,63,2004-04-24 07:35:43,2004-04-24
161,63,2004-04-24 07:36:10,2004-04-24
96,164,2004-04-24 07:38:04,2004-04-24
41,63,2004-04-24 07:39:58,2004-04-24
41,177,2004-04-24 07:40:55,2004-04-24
41,177,2004-04-24 07:41:35,2004-04-24
41,63,2004-04-24 07:42:06,2004-04-24
41,177,2004-04-24 07:42:31,2004-04-24
41,63,2004-04-24 07:43:34,2004-04-24
161,63,2004-04-24 07:43:45,2004-04-24
32,177,2004-04-24 07:43:49,2004-04-24
41,177,2004-04-24 07:43:59,2004-04-24
32,177,2004-04-24 07:45:20,2004-04-24
41,177,2004-04-24 07:45:24,2004-04-24
41,63,2004-04-24 07:45:56,2004-04-24
41,180,2004-04-24 07:46:11,2004-04-24
32,177,2004-04-24 07:47:34,2004-04-24
41,63,2004-04-24 07:47:51,2004-04-24
161,63,2004-04-24 07:48:06,2004-04-24
41,177,2004-04-24 07:48:10,2004-04-24
41,180,2004-04-24 07:48:32,2004-04-24
177,32,2004-04-24 07:50:33,2004-04-24
41,63,2004-04-24 07:51:08,2004-04-24
41,177,2004-04-24 07:51:25,2004-04-24
180,177,2004-04-24 07:51:34,2004-04-24
180,177,2004-04-24 07:51:41,2004-04-24
180,181,2004-04-24 07:52:50,2004-04-24
41,177,2004-04-24 07:52:54,2004-04-24
180,182,2004-04-24 07:53:44,2004-04-24
41,180,2004-04-24 07:55:07,2004-04-24
41,90,2004-04-24 07:55:27,2004-04-24
41,63,2004-04-24 07:55:57,2004-04-24
32,177,2004-04-24 07:56:23,2004-04-24
41,180,2004-04-24 07:58:10,2004-04-24
41,63,2004-04-24 07:58:33,2004-04-24
41,177,2004-04-24 07:58:46,2004-04-24
177,180,2004-04-24 07:59:18,2004-04-24
177,180,2004-04-24 08:00:22,2004-04-24
